cam_id,area_key,mode,idx,x_norm,y_norm
0001,0001_area_0,1차 감지,0,0.46599474999999996,0.471325
0001,0001_area_0,1차 감지,1,0.512104125,0.3031375
0001,0001_area_0,1차 감지,2,0.644037875,0.3697625
0001,0001_area_0,1차 감지,3,0.646524125,0.591575
0001,0001_area_0,1차 감지,4,0.520326625,0.66795
0001,0001_area_0,1차+2차 감지,0,0.4165625,0.46625
0001,0001_area_0,1차+2차 감지,1,0.4875,0.2075
0001,0001_area_0,1차+2차 감지,2,0.690475,0.31
0001,0001_area_0,1차+2차 감지,3,0.6943,0.65125
0001,0001_area_0,1차+2차 감지,4,0.50015,0.76875
0001,0001_area_0,2차 감지,0,0.515427,0.4764
0001,0001_area_0,2차 감지,1,0.53670825,0.39877500000000005
0001,0001_area_0,2차 감지,2,0.59760075,0.429525
0001,0001_area_0,2차 감지,3,0.59874825,0.5319
0001,0001_area_0,2차 감지,4,0.54050325,0.56715
