cam_id,area_key,mode,idx,x_norm,y_norm
0002,0002_area_0,1차 감지,0,0.07283437499999999,0.6440767386091126
0002,0002_area_0,1차 감지,1,0.14656875,0.563800959232614
0002,0002_area_0,1차 감지,2,0.41083437500000003,0.7134412470023981
0002,0002_area_0,1차 감지,3,0.23594375,0.887242206235012
0002,0002_area_0,1차 감지,4,0.10756875,0.8700959232613908
0002,0002_area_0,1차+2차 감지,0,0.0071875,0.5947242206235012
0002,0002_area_0,1차+2차 감지,1,0.120625,0.4712230215827338
0002,0002_area_0,1차+2차 감지,2,0.5271875,0.7014388489208633
0002,0002_area_0,1차+2차 감지,3,0.258125,0.9688249400479616
0002,0002_area_0,1차+2차 감지,4,0.060625,0.9424460431654677
0002,0002_area_0,2차 감지,0,0.13848125,0.6934292565947243
0002,0002_area_0,2차 감지,1,0.1725125,0.6563788968824941
0002,0002_area_0,2차 감지,2,0.29448125,0.7254436450839329
0002,0002_area_0,2차 감지,3,0.21376250000000002,0.8056594724220625
0002,0002_area_0,2차 감지,4,0.15451250000000002,0.7977458033573142
