cam_id,area_key,mode,idx,x_norm,y_norm
0001,0001_area_1,1차 감지,0,0.7421927083333334,0.3109645833333333
0001,0001_area_1,1차 감지,1,0.7746927083333334,0.27074583333333335
0001,0001_area_1,1차 감지,2,0.9282552083333334,0.27206208333333337
0001,0001_area_1,1차 감지,3,0.9221614583333334,0.5498883333333333
0001,0001_area_1,1차 감지,4,0.8055677083333334,0.7167108333333334
0001,0001_area_1,1차 감지,5,0.7365052083333333,0.5431283333333333
0001,0001_area_1,1차+2차 감지,0,0.70125,0.239375
0001,0001_area_1,1차+2차 감지,1,0.75125,0.1775
0001,0001_area_1,1차+2차 감지,2,0.9875,0.17952500000000002
0001,0001_area_1,1차+2차 감지,3,0.978125,0.60695
0001,0001_area_1,1차+2차 감지,4,0.79875,0.8636
0001,0001_area_1,1차+2차 감지,5,0.6925,0.59655
0001,0001_area_1,2차 감지,0,0.7831354166666666,0.3825541666666667
0001,0001_area_1,2차 감지,1,0.7981354166666667,0.3639916666666667
0001,0001_area_1,2차 감지,2,0.8690104166666667,0.3645991666666667
0001,0001_area_1,2차 감지,3,0.8661979166666667,0.4928266666666667
0001,0001_area_1,2차 감지,4,0.8123854166666666,0.5698216666666667
0001,0001_area_1,2차 감지,5,0.7805104166666667,0.48970666666666673
